Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
println(url),Chrome 104.0.5112.81,,,2022-08-18 16:19:04,2022-08-18 16:19:04,0.000s,PASSED
openBrowser(url),Chrome 104.0.5112.81,,,2022-08-18 16:19:04,2022-08-18 16:19:09,5.175s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-18 16:19:09,2022-08-18 16:19:09,0.147s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:19:09,2022-08-18 16:19:10,1.116s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Button_Make Appointment""))",Chrome 104.0.5112.81,,,2022-08-18 16:19:10,2022-08-18 16:19:11,0.805s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Username""), username)",Chrome 104.0.5112.81,,,2022-08-18 16:19:11,2022-08-18 16:19:12,0.768s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Password""), password)",Chrome 104.0.5112.81,,,2022-08-18 16:19:12,2022-08-18 16:19:13,0.727s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:19:13,2022-08-18 16:19:13,0.453s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 104.0.5112.81,,,2022-08-18 16:19:13,2022-08-18 16:19:14,0.974s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:19:14,2022-08-18 16:19:15,0.704s,PASSED
"StatusLogin = verifyElementVisible(findTestObject(""Page_CURA Healthcare Service/Select_Healtcare Center""))",Chrome 104.0.5112.81,,,2022-08-18 16:19:15,2022-08-18 16:19:15,0.406s,PASSED
tc_type = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-18 16:19:15,2022-08-18 16:19:15,0.000s,PASSED
"if (tc_type == ""negative"")",Chrome 104.0.5112.81,,,2022-08-18 16:19:15,2022-08-18 16:19:15,0.000s,PASSED
,,,,,,,
Test Cases/Cura Appointment/Cura Create Appointment,Chrome 104.0.5112.81,,,2022-08-18 16:21:37,2022-08-18 16:22:23,46.187s,FAILED
println(url),Chrome 104.0.5112.81,,,2022-08-18 16:21:37,2022-08-18 16:21:37,0.000s,PASSED
openBrowser(url),Chrome 104.0.5112.81,,,2022-08-18 16:21:37,2022-08-18 16:21:42,5.004s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-18 16:21:42,2022-08-18 16:21:42,0.148s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:21:42,2022-08-18 16:21:43,1.033s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Button_Make Appointment""))",Chrome 104.0.5112.81,,,2022-08-18 16:21:43,2022-08-18 16:21:44,0.782s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Username""), username)",Chrome 104.0.5112.81,,,2022-08-18 16:21:44,2022-08-18 16:21:44,0.753s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Password""), password)",Chrome 104.0.5112.81,,,2022-08-18 16:21:44,2022-08-18 16:21:45,0.756s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:21:45,2022-08-18 16:21:46,0.435s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 104.0.5112.81,,,2022-08-18 16:21:46,2022-08-18 16:21:47,0.952s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:21:47,2022-08-18 16:21:47,0.672s,PASSED
"StatusLogin = verifyElementVisible(findTestObject(""Page_CURA Healthcare Service/Select_Healtcare Center""))",Chrome 104.0.5112.81,,,2022-08-18 16:21:47,2022-08-18 16:22:23,35.631s,FAILED
,,,,,,,
Test Cases/Cura Appointment/Cura Create Appointment,Chrome 104.0.5112.81,,,2022-08-18 16:24:50,2022-08-18 16:25:36,46.463s,FAILED
println(url),Chrome 104.0.5112.81,,,2022-08-18 16:24:50,2022-08-18 16:24:50,0.000s,PASSED
openBrowser(url),Chrome 104.0.5112.81,,,2022-08-18 16:24:50,2022-08-18 16:24:55,5.282s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-18 16:24:55,2022-08-18 16:24:55,0.145s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:24:55,2022-08-18 16:24:56,1.129s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Button_Make Appointment""))",Chrome 104.0.5112.81,,,2022-08-18 16:24:56,2022-08-18 16:24:57,0.772s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Username""), username)",Chrome 104.0.5112.81,,,2022-08-18 16:24:57,2022-08-18 16:24:58,0.771s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Password""), password)",Chrome 104.0.5112.81,,,2022-08-18 16:24:58,2022-08-18 16:24:59,0.734s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:24:59,2022-08-18 16:24:59,0.448s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 104.0.5112.81,,,2022-08-18 16:24:59,2022-08-18 16:25:00,0.944s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:25:00,2022-08-18 16:25:01,0.642s,PASSED
"StatusLogin = verifyElementVisible(findTestObject(""Page_CURA Healthcare Service/Select_Healtcare Center""))",Chrome 104.0.5112.81,,,2022-08-18 16:25:01,2022-08-18 16:25:36,35.593s,FAILED
